fecha;nombre;geo
2020-03-28;Providencia;POLYGON ((-70.60583699999999 -33.410164, -70.610473 -33.408869, -70.612533 -33.408583, -70.61407800000001 -33.408905, -70.615837 -33.40998, -70.616867 -33.411305, -70.62 -33.414028, -70.622961 -33.4165, -70.62472099999999 -33.41804, -70.627038 -33.419114, -70.629656 -33.419759, -70.63257400000001 -33.422589, -70.633475 -33.423878, -70.633819 -33.425347, -70.633904 -33.426565, -70.63579300000001 -33.429645, -70.636351 -33.430612, -70.635246 -33.435903, -70.63516 -33.43687, -70.634817 -33.438517, -70.63143599999999 -33.449798, -70.61875999999999 -33.447233, -70.618432 -33.448361, -70.613714 -33.447522, -70.613889 -33.446799, -70.608144 -33.445685, -70.599217 -33.44461, -70.599238 -33.444369, -70.598412 -33.444319, -70.59793000000001 -33.444843, -70.59278 -33.447815, -70.587158 -33.439525, -70.58217999999999 -33.433831, -70.583522 -33.432976, -70.58489400000001 -33.431942, -70.588499 -33.428217, -70.601803 -33.417902, -70.60308999999999 -33.4174, -70.60455 -33.417328, -70.605923 -33.41654, -70.607983 -33.416182, -70.607039 -33.414678, -70.60660900000001 -33.411884, -70.60583699999999 -33.410164))
2020-03-28;Santiago;POLYGON ((-70.651658 -33.432368, -70.653013 -33.432035, -70.671317 -33.426466, -70.671971 -33.428301, -70.677046 -33.426519, -70.678934 -33.427271, -70.680222 -33.428095, -70.680694 -33.429993, -70.680127 -33.438382, -70.6812 -33.438417, -70.68124299999999 -33.437522, -70.681656 -33.437544, -70.681737 -33.436179, -70.682751 -33.43634, -70.68270200000001 -33.436609, -70.68316900000001 -33.436689, -70.68312299999999 -33.437365, -70.68340000000001 -33.437415, -70.683271 -33.438552, -70.691715 -33.439259, -70.69165 -33.439814, -70.691951 -33.442536, -70.692058 -33.444577, -70.68029900000001 -33.443861, -70.679698 -33.443717, -70.67905500000001 -33.450951, -70.67785000000001 -33.450621, -70.67905399999999 -33.469189, -70.67944 -33.470084, -70.679998 -33.47055, -70.673046 -33.470478, -70.67296 -33.474666, -70.67364600000001 -33.475704, -70.674505 -33.47617, -70.678281 -33.476206, -70.67823799999999 -33.47685, -70.68077 -33.47685, -70.68085600000001 -33.478389, -70.671758 -33.478461, -70.671629 -33.476671, -70.671544 -33.476277, -70.670728 -33.476528, -70.666222 -33.476385, -70.664806 -33.476062, -70.663218 -33.4759727, -70.66163 -33.475955, -70.654764 -33.476742, -70.64339099999999 -33.476742, -70.641288 -33.476635, -70.63498 -33.474666, -70.625281 -33.47123, -70.624466 -33.470836, -70.624165 -33.470227, -70.624594 -33.469905, -70.625925 -33.469118, -70.634817 -33.438517, -70.63516 -33.43687, -70.635246 -33.435903, -70.651658 -33.432368))
2020-03-28;Vitacura;POLYGON ((-70.518934 -33.370482, -70.520093 -33.368726, -70.522024 -33.369371, -70.526359 -33.36955, -70.53043599999999 -33.370231, -70.532453 -33.370589, -70.53498500000001 -33.370768, -70.536744 -33.369622, -70.539963 -33.369371, -70.541594 -33.368367, -70.543825 -33.367794, -70.545756 -33.366539, -70.54618600000001 -33.365249, -70.546915 -33.363887, -70.54755900000001 -33.363385, -70.547988 -33.362095, -70.548632 -33.361127, -70.548288 -33.360518, -70.550692 -33.359944, -70.55133499999999 -33.360303, -70.55258000000001 -33.360231, -70.55442499999999 -33.35808, -70.55876000000001 -33.356826, -70.564725 -33.35636, -70.56541199999999 -33.355105, -70.567042 -33.354854, -70.569531 -33.356001, -70.574123 -33.356252, -70.57657 -33.354818, -70.5779 -33.351807, -70.580046 -33.351413, -70.58103300000001 -33.350803, -70.583136 -33.352094, -70.58631099999999 -33.354281, -70.5882 -33.356575, -70.593993 -33.358833, -70.596568 -33.361701, -70.599529 -33.362991, -70.597641 -33.364855, -70.595581 -33.365822, -70.59523799999999 -33.367041, -70.59510899999999 -33.368654, -70.59523799999999 -33.370768, -70.59669700000001 -33.372632, -70.59682599999999 -33.376073, -70.597126 -33.377363, -70.59777 -33.379836, -70.599873 -33.38152, -70.601675 -33.382487, -70.60218999999999 -33.384852, -70.60184700000001 -33.386035, -70.60171800000001 -33.387683, -70.60206100000001 -33.388722, -70.602791 -33.390227, -70.605366 -33.392915, -70.606267 -33.394025, -70.607726 -33.395638, -70.608456 -33.398504, -70.609657 -33.403699, -70.609314 -33.404416, -70.610086 -33.406529, -70.610601 -33.407568, -70.612533 -33.408583, -70.610473 -33.408869, -70.60583699999999 -33.410164, -70.60205999999999 -33.408158, -70.598713 -33.408229, -70.59064499999999 -33.405292, -70.585323 -33.40393, -70.582491 -33.402497, -70.548159 -33.389599, -70.534769 -33.384367, -70.532709 -33.382647, -70.52695799999999 -33.376842, -70.51769 -33.37274, -70.518934 -33.370482))
2020-03-28;Ñuñoa;POLYGON ((-70.63143599999999 -33.449798, -70.62971 -33.455526, -70.625925 -33.469118, -70.624165 -33.470227, -70.62294900000001 -33.47495, -70.596299 -33.473432, -70.589626 -33.473879, -70.58468999999999 -33.47345, -70.580506 -33.470819, -70.57827399999999 -33.469852, -70.577501 -33.469387, -70.576386 -33.469136, -70.57063599999999 -33.45367, -70.57097899999999 -33.451378, -70.57200899999999 -33.445577, -70.573382 -33.437914, -70.575785 -33.436768, -70.577502 -33.436293, -70.579218 -33.435604, -70.58217999999999 -33.433831, -70.587158 -33.439525, -70.59278 -33.447815, -70.59793000000001 -33.444843, -70.598412 -33.444319, -70.599238 -33.444369, -70.599217 -33.44461, -70.60162 -33.444861, -70.608144 -33.445685, -70.613889 -33.446799, -70.613714 -33.447522, -70.616523 -33.447976, -70.617113 -33.448142, -70.618432 -33.448361, -70.61875999999999 -33.447233, -70.625342 -33.448565, -70.63143599999999 -33.449798))
2020-03-29;Independencia;POLYGON ((-70.671228 -33.42585, -70.671317 -33.426466, -70.662798 -33.42917, -70.653013 -33.432035, -70.651658 -33.432368, -70.651658 -33.431401, -70.65127200000001 -33.427211, -70.650671 -33.421229, -70.65024200000001 -33.418507, -70.650113 -33.417719, -70.652688 -33.417468, -70.652731 -33.415355, -70.652602 -33.411235, -70.653632 -33.411235, -70.653589 -33.409766, -70.65311699999999 -33.409802, -70.65264500000001 -33.40751, -70.652946 -33.407474, -70.65277399999999 -33.406506, -70.657151 -33.40536, -70.658181 -33.400631, -70.66067 -33.400918, -70.660971 -33.399448, -70.663331 -33.399126, -70.663889 -33.399341, -70.66410399999999 -33.399054, -70.66706499999999 -33.399054, -70.668138 -33.399126, -70.667709 -33.399484, -70.668481 -33.399699, -70.67208599999999 -33.399914, -70.67221499999999 -33.399628, -70.681012 -33.402745, -70.681871 -33.402924, -70.680283 -33.405539, -70.678867 -33.417217, -70.678094 -33.418579, -70.67697800000001 -33.420083, -70.674661 -33.421659, -70.67401700000001 -33.422375, -70.672 -33.424847, -70.671142 -33.425527, -70.671228 -33.42585))
2020-03-29;Las Condes;POLYGON ((-70.607983 -33.416182, -70.605923 -33.41654, -70.60455 -33.417328, -70.60308999999999 -33.4174, -70.601803 -33.417902, -70.59553699999999 -33.42263, -70.588499 -33.428217, -70.58489400000001 -33.431942, -70.554596 -33.430438, -70.539232 -33.428719, -70.539275 -33.430044, -70.538803 -33.432443, -70.53768700000001 -33.433661, -70.52275299999999 -33.431441, -70.51803200000001 -33.433733, -70.517388 -33.436634, -70.503333 -33.438084, -70.499863 -33.443854, -70.49521 -33.446595, -70.495458 -33.450544, -70.490003 -33.454667, -70.48645999999999 -33.460631, -70.486178 -33.462728, -70.48249300000001 -33.465239, -70.472971 -33.475195, -70.460999 -33.475339, -70.456214 -33.479706, -70.451418 -33.481174, -70.448504 -33.483912, -70.44078399999999 -33.486363, -70.438366 -33.485986, -70.43664200000001 -33.481932, -70.433892 -33.481623, -70.433718 -33.476314, -70.432515 -33.473009, -70.434889 -33.469105, -70.43281399999999 -33.463144, -70.430054 -33.462911, -70.426778 -33.456806, -70.429339 -33.453566, -70.42853599999999 -33.450738, -70.42899199999999 -33.446889, -70.431624 -33.446541, -70.432024 -33.44409, -70.431538 -33.441146, -70.429678 -33.439348, -70.433683 -33.431884, -70.43391200000001 -33.426425, -70.439859 -33.421789, -70.44214599999999 -33.417464, -70.44546200000001 -33.416006, -70.450254 -33.408828, -70.449208 -33.406808, -70.456729 -33.393025, -70.46559000000001 -33.392107, -70.47211299999999 -33.391032, -70.479494 -33.385156, -70.483056 -33.381679, -70.48215500000001 -33.374763, -70.483737 -33.372533, -70.48627500000001 -33.371538, -70.48696099999999 -33.364513, -70.49048000000001 -33.364441, -70.49211099999999 -33.364441, -70.493742 -33.365086, -70.49563000000001 -33.366932, -70.499064 -33.36695, -70.505329 -33.369889, -70.511252 -33.370606, -70.51691599999999 -33.372398, -70.521294 -33.374333, -70.52695799999999 -33.376842, -70.532709 -33.382647, -70.534769 -33.384367, -70.53760200000001 -33.385585, -70.548159 -33.389599, -70.570904 -33.397983, -70.582491 -33.402497, -70.585323 -33.40393, -70.59064499999999 -33.405292, -70.598713 -33.408229, -70.60205999999999 -33.408158, -70.603691 -33.409018, -70.60583699999999 -33.410164, -70.60660900000001 -33.411884, -70.607039 -33.414678, -70.607983 -33.416182))
2020-03-29;Lo Barnechea;POLYGON ((-70.37252700000001 -33.105068, -70.38282700000001 -33.114846, -70.395186 -33.120022, -70.421966 -33.125197, -70.432265 -33.132673, -70.440505 -33.153945, -70.456298 -33.172914, -70.459731 -33.183833, -70.47758399999999 -33.215434, -70.48925699999999 -33.223476, -70.50299 -33.234963, -70.516723 -33.241855, -70.526336 -33.250469, -70.528396 -33.259082, -70.546935 -33.283768, -70.55929500000001 -33.289508, -70.57028099999999 -33.297543, -70.584073 -33.316337, -70.583043 -33.320354, -70.589738 -33.340577, -70.588536 -33.346026, -70.58476 -33.347747, -70.58103300000001 -33.350803, -70.5779 -33.351807, -70.57657 -33.354818, -70.574123 -33.356252, -70.569531 -33.356001, -70.567042 -33.354854, -70.56541199999999 -33.355105, -70.564725 -33.35636, -70.55876000000001 -33.356826, -70.55442499999999 -33.35808, -70.552745 -33.359792, -70.55258000000001 -33.360231, -70.55133499999999 -33.360303, -70.550692 -33.359944, -70.548288 -33.360518, -70.548632 -33.361127, -70.546915 -33.363887, -70.54618600000001 -33.365249, -70.545756 -33.366539, -70.543825 -33.367794, -70.541594 -33.368367, -70.539963 -33.369371, -70.536744 -33.369622, -70.53498500000001 -33.370768, -70.52545000000001 -33.369325, -70.522024 -33.369371, -70.520093 -33.368726, -70.518934 -33.370482, -70.51769 -33.37274, -70.511252 -33.370606, -70.505329 -33.369889, -70.499064 -33.36695, -70.49563000000001 -33.366932, -70.493742 -33.365086, -70.49211099999999 -33.364441, -70.48696099999999 -33.364513, -70.48627500000001 -33.371538, -70.483737 -33.372533, -70.48215500000001 -33.374763, -70.483056 -33.381679, -70.479494 -33.385156, -70.47211299999999 -33.391032, -70.46559000000001 -33.392107, -70.45919000000001 -33.392547, -70.45781599999999 -33.392547, -70.456729 -33.393025, -70.449208 -33.406808, -70.450254 -33.408828, -70.44546200000001 -33.416006, -70.44214599999999 -33.417464, -70.439859 -33.421789, -70.43391200000001 -33.426425, -70.433683 -33.431884, -70.429678 -33.439348, -70.431538 -33.441146, -70.432024 -33.44409, -70.431624 -33.446541, -70.42899199999999 -33.446889, -70.42853599999999 -33.450738, -70.429339 -33.453566, -70.426778 -33.456806, -70.430054 -33.462911, -70.43281399999999 -33.463144, -70.434889 -33.469105, -70.432515 -33.473009, -70.433718 -33.476314, -70.433892 -33.481623, -70.426177 -33.482468, -70.4121 -33.484472, -70.40420399999999 -33.489054, -70.39253100000001 -33.48934, -70.366438 -33.487049, -70.356139 -33.489054, -70.342062 -33.485904, -70.32935999999999 -33.481322, -70.31699999999999 -33.479891, -70.30223700000001 -33.47445, -70.291251 -33.476454, -70.281294 -33.473877, -70.278548 -33.465572, -70.275458 -33.457838, -70.264472 -33.455833, -70.259665 -33.458411, -70.245589 -33.458411, -70.23082599999999 -33.452682, -70.22567600000001 -33.439791, -70.22361600000001 -33.431769, -70.219812 -33.421986, -70.211572 -33.410523, -70.207452 -33.394472, -70.193719 -33.383006, -70.186852 -33.364657, -70.179986 -33.332536, -70.181359 -33.304995, -70.188226 -33.291221, -70.192346 -33.275148, -70.190972 -33.259073, -70.203332 -33.245292, -70.215692 -33.215425, -70.23354399999999 -33.206233, -70.241784 -33.191294, -70.23903799999999 -33.169456, -70.22805099999999 -33.154511, -70.23217099999999 -33.143013, -70.250024 -33.143013, -70.26101 -33.129214, -70.26513 -33.10851, -70.27337 -33.098157, -70.291223 -33.094705, -70.31456900000001 -33.087802, -70.32555499999999 -33.080898, -70.339288 -33.088953, -70.337915 -33.100458, -70.350274 -33.105059, -70.37252700000001 -33.105068))
2020-03-29;Providencia;POLYGON ((-70.60583699999999 -33.410164, -70.610473 -33.408869, -70.612533 -33.408583, -70.61407800000001 -33.408905, -70.615837 -33.40998, -70.616867 -33.411305, -70.62 -33.414028, -70.622961 -33.4165, -70.62472099999999 -33.41804, -70.627038 -33.419114, -70.629656 -33.419759, -70.63257400000001 -33.422589, -70.633475 -33.423878, -70.633819 -33.425347, -70.633904 -33.426565, -70.63579300000001 -33.429645, -70.636351 -33.430612, -70.635246 -33.435903, -70.63516 -33.43687, -70.634817 -33.438517, -70.63143599999999 -33.449798, -70.61875999999999 -33.447233, -70.618432 -33.448361, -70.613714 -33.447522, -70.613889 -33.446799, -70.608144 -33.445685, -70.599217 -33.44461, -70.599238 -33.444369, -70.598412 -33.444319, -70.59793000000001 -33.444843, -70.59278 -33.447815, -70.587158 -33.439525, -70.58217999999999 -33.433831, -70.583522 -33.432976, -70.58489400000001 -33.431942, -70.588499 -33.428217, -70.601803 -33.417902, -70.60308999999999 -33.4174, -70.60455 -33.417328, -70.605923 -33.41654, -70.607983 -33.416182, -70.607039 -33.414678, -70.60660900000001 -33.411884, -70.60583699999999 -33.410164))
2020-03-29;Santiago;POLYGON ((-70.651658 -33.432368, -70.653013 -33.432035, -70.671317 -33.426466, -70.671971 -33.428301, -70.677046 -33.426519, -70.678934 -33.427271, -70.680222 -33.428095, -70.680694 -33.429993, -70.680127 -33.438382, -70.6812 -33.438417, -70.68124299999999 -33.437522, -70.681656 -33.437544, -70.681737 -33.436179, -70.682751 -33.43634, -70.68270200000001 -33.436609, -70.68316900000001 -33.436689, -70.68312299999999 -33.437365, -70.68340000000001 -33.437415, -70.683271 -33.438552, -70.691715 -33.439259, -70.69165 -33.439814, -70.691951 -33.442536, -70.692058 -33.444577, -70.68029900000001 -33.443861, -70.679698 -33.443717, -70.67905500000001 -33.450951, -70.67785000000001 -33.450621, -70.67905399999999 -33.469189, -70.67944 -33.470084, -70.679998 -33.47055, -70.673046 -33.470478, -70.67296 -33.474666, -70.67364600000001 -33.475704, -70.674505 -33.47617, -70.678281 -33.476206, -70.67823799999999 -33.47685, -70.68077 -33.47685, -70.68085600000001 -33.478389, -70.671758 -33.478461, -70.671629 -33.476671, -70.671544 -33.476277, -70.670728 -33.476528, -70.666222 -33.476385, -70.664806 -33.476062, -70.663218 -33.4759727, -70.66163 -33.475955, -70.654764 -33.476742, -70.64339099999999 -33.476742, -70.641288 -33.476635, -70.63498 -33.474666, -70.625281 -33.47123, -70.624466 -33.470836, -70.624165 -33.470227, -70.624594 -33.469905, -70.625925 -33.469118, -70.634817 -33.438517, -70.63516 -33.43687, -70.635246 -33.435903, -70.651658 -33.432368))
2020-03-29;Vitacura;POLYGON ((-70.518934 -33.370482, -70.520093 -33.368726, -70.522024 -33.369371, -70.526359 -33.36955, -70.53043599999999 -33.370231, -70.532453 -33.370589, -70.53498500000001 -33.370768, -70.536744 -33.369622, -70.539963 -33.369371, -70.541594 -33.368367, -70.543825 -33.367794, -70.545756 -33.366539, -70.54618600000001 -33.365249, -70.546915 -33.363887, -70.54755900000001 -33.363385, -70.547988 -33.362095, -70.548632 -33.361127, -70.548288 -33.360518, -70.550692 -33.359944, -70.55133499999999 -33.360303, -70.55258000000001 -33.360231, -70.55442499999999 -33.35808, -70.55876000000001 -33.356826, -70.564725 -33.35636, -70.56541199999999 -33.355105, -70.567042 -33.354854, -70.569531 -33.356001, -70.574123 -33.356252, -70.57657 -33.354818, -70.5779 -33.351807, -70.580046 -33.351413, -70.58103300000001 -33.350803, -70.583136 -33.352094, -70.58631099999999 -33.354281, -70.5882 -33.356575, -70.593993 -33.358833, -70.596568 -33.361701, -70.599529 -33.362991, -70.597641 -33.364855, -70.595581 -33.365822, -70.59523799999999 -33.367041, -70.59510899999999 -33.368654, -70.59523799999999 -33.370768, -70.59669700000001 -33.372632, -70.59682599999999 -33.376073, -70.597126 -33.377363, -70.59777 -33.379836, -70.599873 -33.38152, -70.601675 -33.382487, -70.60218999999999 -33.384852, -70.60184700000001 -33.386035, -70.60171800000001 -33.387683, -70.60206100000001 -33.388722, -70.602791 -33.390227, -70.605366 -33.392915, -70.606267 -33.394025, -70.607726 -33.395638, -70.608456 -33.398504, -70.609657 -33.403699, -70.609314 -33.404416, -70.610086 -33.406529, -70.610601 -33.407568, -70.612533 -33.408583, -70.610473 -33.408869, -70.60583699999999 -33.410164, -70.60205999999999 -33.408158, -70.598713 -33.408229, -70.59064499999999 -33.405292, -70.585323 -33.40393, -70.582491 -33.402497, -70.548159 -33.389599, -70.534769 -33.384367, -70.532709 -33.382647, -70.52695799999999 -33.376842, -70.51769 -33.37274, -70.518934 -33.370482))
2020-03-29;Ñuñoa;POLYGON ((-70.63143599999999 -33.449798, -70.62971 -33.455526, -70.625925 -33.469118, -70.624165 -33.470227, -70.62294900000001 -33.47495, -70.596299 -33.473432, -70.589626 -33.473879, -70.58468999999999 -33.47345, -70.580506 -33.470819, -70.57827399999999 -33.469852, -70.577501 -33.469387, -70.576386 -33.469136, -70.57063599999999 -33.45367, -70.57097899999999 -33.451378, -70.57200899999999 -33.445577, -70.573382 -33.437914, -70.575785 -33.436768, -70.577502 -33.436293, -70.579218 -33.435604, -70.58217999999999 -33.433831, -70.587158 -33.439525, -70.59278 -33.447815, -70.59793000000001 -33.444843, -70.598412 -33.444319, -70.599238 -33.444369, -70.599217 -33.44461, -70.60162 -33.444861, -70.608144 -33.445685, -70.613889 -33.446799, -70.613714 -33.447522, -70.616523 -33.447976, -70.617113 -33.448142, -70.618432 -33.448361, -70.61875999999999 -33.447233, -70.625342 -33.448565, -70.63143599999999 -33.449798))
2020-03-30;Independencia;POLYGON ((-70.671228 -33.42585, -70.671317 -33.426466, -70.662798 -33.42917, -70.653013 -33.432035, -70.651658 -33.432368, -70.651658 -33.431401, -70.65127200000001 -33.427211, -70.650671 -33.421229, -70.65024200000001 -33.418507, -70.650113 -33.417719, -70.652688 -33.417468, -70.652731 -33.415355, -70.652602 -33.411235, -70.653632 -33.411235, -70.653589 -33.409766, -70.65311699999999 -33.409802, -70.65264500000001 -33.40751, -70.652946 -33.407474, -70.65277399999999 -33.406506, -70.657151 -33.40536, -70.658181 -33.400631, -70.66067 -33.400918, -70.660971 -33.399448, -70.663331 -33.399126, -70.663889 -33.399341, -70.66410399999999 -33.399054, -70.66706499999999 -33.399054, -70.668138 -33.399126, -70.667709 -33.399484, -70.668481 -33.399699, -70.67208599999999 -33.399914, -70.67221499999999 -33.399628, -70.681012 -33.402745, -70.681871 -33.402924, -70.680283 -33.405539, -70.678867 -33.417217, -70.678094 -33.418579, -70.67697800000001 -33.420083, -70.674661 -33.421659, -70.67401700000001 -33.422375, -70.672 -33.424847, -70.671142 -33.425527, -70.671228 -33.42585))
2020-03-30;Las Condes;POLYGON ((-70.607983 -33.416182, -70.605923 -33.41654, -70.60455 -33.417328, -70.60308999999999 -33.4174, -70.601803 -33.417902, -70.59553699999999 -33.42263, -70.588499 -33.428217, -70.58489400000001 -33.431942, -70.554596 -33.430438, -70.539232 -33.428719, -70.539275 -33.430044, -70.538803 -33.432443, -70.53768700000001 -33.433661, -70.52275299999999 -33.431441, -70.51803200000001 -33.433733, -70.517388 -33.436634, -70.503333 -33.438084, -70.499863 -33.443854, -70.49521 -33.446595, -70.495458 -33.450544, -70.490003 -33.454667, -70.48645999999999 -33.460631, -70.486178 -33.462728, -70.48249300000001 -33.465239, -70.472971 -33.475195, -70.460999 -33.475339, -70.456214 -33.479706, -70.451418 -33.481174, -70.448504 -33.483912, -70.44078399999999 -33.486363, -70.438366 -33.485986, -70.43664200000001 -33.481932, -70.433892 -33.481623, -70.433718 -33.476314, -70.432515 -33.473009, -70.434889 -33.469105, -70.43281399999999 -33.463144, -70.430054 -33.462911, -70.426778 -33.456806, -70.429339 -33.453566, -70.42853599999999 -33.450738, -70.42899199999999 -33.446889, -70.431624 -33.446541, -70.432024 -33.44409, -70.431538 -33.441146, -70.429678 -33.439348, -70.433683 -33.431884, -70.43391200000001 -33.426425, -70.439859 -33.421789, -70.44214599999999 -33.417464, -70.44546200000001 -33.416006, -70.450254 -33.408828, -70.449208 -33.406808, -70.456729 -33.393025, -70.46559000000001 -33.392107, -70.47211299999999 -33.391032, -70.479494 -33.385156, -70.483056 -33.381679, -70.48215500000001 -33.374763, -70.483737 -33.372533, -70.48627500000001 -33.371538, -70.48696099999999 -33.364513, -70.49048000000001 -33.364441, -70.49211099999999 -33.364441, -70.493742 -33.365086, -70.49563000000001 -33.366932, -70.499064 -33.36695, -70.505329 -33.369889, -70.511252 -33.370606, -70.51691599999999 -33.372398, -70.521294 -33.374333, -70.52695799999999 -33.376842, -70.532709 -33.382647, -70.534769 -33.384367, -70.53760200000001 -33.385585, -70.548159 -33.389599, -70.570904 -33.397983, -70.582491 -33.402497, -70.585323 -33.40393, -70.59064499999999 -33.405292, -70.598713 -33.408229, -70.60205999999999 -33.408158, -70.603691 -33.409018, -70.60583699999999 -33.410164, -70.60660900000001 -33.411884, -70.607039 -33.414678, -70.607983 -33.416182))
2020-03-30;Lo Barnechea;POLYGON ((-70.37252700000001 -33.105068, -70.38282700000001 -33.114846, -70.395186 -33.120022, -70.421966 -33.125197, -70.432265 -33.132673, -70.440505 -33.153945, -70.456298 -33.172914, -70.459731 -33.183833, -70.47758399999999 -33.215434, -70.48925699999999 -33.223476, -70.50299 -33.234963, -70.516723 -33.241855, -70.526336 -33.250469, -70.528396 -33.259082, -70.546935 -33.283768, -70.55929500000001 -33.289508, -70.57028099999999 -33.297543, -70.584073 -33.316337, -70.583043 -33.320354, -70.589738 -33.340577, -70.588536 -33.346026, -70.58476 -33.347747, -70.58103300000001 -33.350803, -70.5779 -33.351807, -70.57657 -33.354818, -70.574123 -33.356252, -70.569531 -33.356001, -70.567042 -33.354854, -70.56541199999999 -33.355105, -70.564725 -33.35636, -70.55876000000001 -33.356826, -70.55442499999999 -33.35808, -70.552745 -33.359792, -70.55258000000001 -33.360231, -70.55133499999999 -33.360303, -70.550692 -33.359944, -70.548288 -33.360518, -70.548632 -33.361127, -70.546915 -33.363887, -70.54618600000001 -33.365249, -70.545756 -33.366539, -70.543825 -33.367794, -70.541594 -33.368367, -70.539963 -33.369371, -70.536744 -33.369622, -70.53498500000001 -33.370768, -70.52545000000001 -33.369325, -70.522024 -33.369371, -70.520093 -33.368726, -70.518934 -33.370482, -70.51769 -33.37274, -70.511252 -33.370606, -70.505329 -33.369889, -70.499064 -33.36695, -70.49563000000001 -33.366932, -70.493742 -33.365086, -70.49211099999999 -33.364441, -70.48696099999999 -33.364513, -70.48627500000001 -33.371538, -70.483737 -33.372533, -70.48215500000001 -33.374763, -70.483056 -33.381679, -70.479494 -33.385156, -70.47211299999999 -33.391032, -70.46559000000001 -33.392107, -70.45919000000001 -33.392547, -70.45781599999999 -33.392547, -70.456729 -33.393025, -70.449208 -33.406808, -70.450254 -33.408828, -70.44546200000001 -33.416006, -70.44214599999999 -33.417464, -70.439859 -33.421789, -70.43391200000001 -33.426425, -70.433683 -33.431884, -70.429678 -33.439348, -70.431538 -33.441146, -70.432024 -33.44409, -70.431624 -33.446541, -70.42899199999999 -33.446889, -70.42853599999999 -33.450738, -70.429339 -33.453566, -70.426778 -33.456806, -70.430054 -33.462911, -70.43281399999999 -33.463144, -70.434889 -33.469105, -70.432515 -33.473009, -70.433718 -33.476314, -70.433892 -33.481623, -70.426177 -33.482468, -70.4121 -33.484472, -70.40420399999999 -33.489054, -70.39253100000001 -33.48934, -70.366438 -33.487049, -70.356139 -33.489054, -70.342062 -33.485904, -70.32935999999999 -33.481322, -70.31699999999999 -33.479891, -70.30223700000001 -33.47445, -70.291251 -33.476454, -70.281294 -33.473877, -70.278548 -33.465572, -70.275458 -33.457838, -70.264472 -33.455833, -70.259665 -33.458411, -70.245589 -33.458411, -70.23082599999999 -33.452682, -70.22567600000001 -33.439791, -70.22361600000001 -33.431769, -70.219812 -33.421986, -70.211572 -33.410523, -70.207452 -33.394472, -70.193719 -33.383006, -70.186852 -33.364657, -70.179986 -33.332536, -70.181359 -33.304995, -70.188226 -33.291221, -70.192346 -33.275148, -70.190972 -33.259073, -70.203332 -33.245292, -70.215692 -33.215425, -70.23354399999999 -33.206233, -70.241784 -33.191294, -70.23903799999999 -33.169456, -70.22805099999999 -33.154511, -70.23217099999999 -33.143013, -70.250024 -33.143013, -70.26101 -33.129214, -70.26513 -33.10851, -70.27337 -33.098157, -70.291223 -33.094705, -70.31456900000001 -33.087802, -70.32555499999999 -33.080898, -70.339288 -33.088953, -70.337915 -33.100458, -70.350274 -33.105059, -70.37252700000001 -33.105068))
2020-03-30;Providencia;POLYGON ((-70.60583699999999 -33.410164, -70.610473 -33.408869, -70.612533 -33.408583, -70.61407800000001 -33.408905, -70.615837 -33.40998, -70.616867 -33.411305, -70.62 -33.414028, -70.622961 -33.4165, -70.62472099999999 -33.41804, -70.627038 -33.419114, -70.629656 -33.419759, -70.63257400000001 -33.422589, -70.633475 -33.423878, -70.633819 -33.425347, -70.633904 -33.426565, -70.63579300000001 -33.429645, -70.636351 -33.430612, -70.635246 -33.435903, -70.63516 -33.43687, -70.634817 -33.438517, -70.63143599999999 -33.449798, -70.61875999999999 -33.447233, -70.618432 -33.448361, -70.613714 -33.447522, -70.613889 -33.446799, -70.608144 -33.445685, -70.599217 -33.44461, -70.599238 -33.444369, -70.598412 -33.444319, -70.59793000000001 -33.444843, -70.59278 -33.447815, -70.587158 -33.439525, -70.58217999999999 -33.433831, -70.583522 -33.432976, -70.58489400000001 -33.431942, -70.588499 -33.428217, -70.601803 -33.417902, -70.60308999999999 -33.4174, -70.60455 -33.417328, -70.605923 -33.41654, -70.607983 -33.416182, -70.607039 -33.414678, -70.60660900000001 -33.411884, -70.60583699999999 -33.410164))
